,AAPL,GOOG,IBM,MSFT
2010-12-01 16:00:00,0.742270763457,-1.63307630297,-0.0100370973594,0.0313773950042
2010-12-02 16:00:00,0.983465429307,-1.15388255231,0.425412320243,1.4000388341
2010-12-03 16:00:00,0.871294324935,-0.999281370516,0.58494832104,1.60453817864
2010-12-06 16:00:00,1.2880798477,-0.664958268983,0.387482444292,1.28622488609
2010-12-07 16:00:00,0.960567882565,-0.131783507351,-0.186710922097,1.27569174601
2010-12-08 16:00:00,1.34437636013,0.173482716973,0.550842138494,1.71750281085
2010-12-09 16:00:00,1.10532907199,0.388075417606,0.147198878572,1.42295433365
2010-12-10 16:00:00,1.16986396233,0.623107119723,0.604984479822,1.62450221911
2010-12-13 16:00:00,1.20868813328,0.912659308535,0.136726682841,1.36079523144
2010-12-14 16:00:00,0.900595307925,0.943869570056,1.25944529253,1.59892473068
2010-12-15 16:00:00,0.852498303058,0.492500178601,0.317084984883,1.62828993488
2010-12-16 16:00:00,1.01919596304,0.577611061461,0.068493519558,1.56223823532
2010-12-17 16:00:00,0.807002840207,0.533236167647,0.468844319596,1.31717609662
2010-12-20 16:00:00,1.16403730931,0.889704811698,0.0340566582946,1.10358416027
2010-12-21 16:00:00,1.51691785086,1.47243220053,1.17081869278,1.22395352648
2010-12-22 16:00:00,1.77036187661,1.48508217643,1.23511010132,1.23065731519
2010-12-23 16:00:00,1.1850088782,1.29817845236,1.17721961605,1.23768406768
2010-12-27 16:00:00,1.37129777512,1.07360344246,0.590403389041,0.932911359704
2010-12-28 16:00:00,1.436278076,0.745547856884,0.863405665998,0.812843778404
2010-12-29 16:00:00,1.46489374009,0.874884813661,2.09624155905,0.752602319573
2010-12-30 16:00:00,0.793493470525,0.634661488258,1.95932386161,0.498395160765
